DrugName,Superscript,PublishLink,EditLink
Smokeless Tobacco,"f,t,oo",https://docs.google.com/document/d/e/2PACX-1vThXkAWvaFQ918O3HmpIrwmweX3_T0MGJa_kIbq3GFZp5oY6d6pePgg_p4X8Au322M7TqqGn1ASUGsl/pub?embedded=true,https://docs.google.com/document/d/1i1ZaRx9-2M42nMzTja80US2aEQrb9CmvnFa7zOqTe0A/edit?usp=sharing
Snus,"e,n,oo",https://docs.google.com/document/d/e/2PACX-1vTfGYtqAK_AGscKrKuqxJK0bh-6iV5yj-esJNP4iZg1huE5anExgmPBvJLvJp_DWnrw7OK4dfTleu_e/pub?embedded=true,https://docs.google.com/document/d/1E52s0AdASwXqRf6NbDPp6PPWG4tNAPRE2NX8We0gJVA/edit?usp=sharing
Stay Awake Pills,"e,oo",https://docs.google.com/document/d/e/2PACX-1vTGNYJAo2NnMiHVAkoLyrDRqBfCI_dogtRdOkESR2MOcsOWSz03L9L44jNtzDgNB4caA-BFL15xh6uB/pub?embedded=true,https://docs.google.com/document/d/1kc6-M6DJfD5ACvpUvSxTGmmwly_RSp8X2I5HDJFO_BI/edit?usp=sharing
Steroids,"k,u",https://docs.google.com/document/d/e/2PACX-1vS6CiJpNEGrsaOdEMk3nN8rik3dmVvAZDwSLY9Y0eTV8ywDyBUrMiLUeZwPUg5u10bnNz638yOzgmQg/pub?embedded=true,https://docs.google.com/document/d/1yov-uIvMu7GVRuRFcP0wMhKmPpEqw7ciNBqj8mULC44/edit?usp=sharing
Synthetic Marijuana,"n,o",https://docs.google.com/document/d/e/2PACX-1vTR-qX2BV2pVezJYxjN8yqtYxjPWAJVSuk88nGu2SlYqAfyK4dH4rpjcnOHeo-5a_h69QsubzLU34_V/pub?embedded=true,https://docs.google.com/document/d/1NLwOho5q3JwTBcNgZ1IlKpKoUnV-7-SWD8082oJaKXk/edit?usp=sharing
Tobacco Hookah,e,https://docs.google.com/document/d/e/2PACX-1vSWrKaRujWCpgyVfoeglrw63sGJyJxa3kVYbyrArhfqeoUIb_LXLdiVUHjJXzK1EPoNbkUTR8vzfq2W/pub?embedded=true,https://docs.google.com/document/d/1EGOKk2evgRixy0XJB-4UfcVAyCajqIX-Ms1D5bLs2B8/edit?usp=sharing
Tranquilizers,"b,k",https://docs.google.com/document/d/e/2PACX-1vTB5zJ0v6K3RCc0Daw4th71Uf1g7PcV5AIoa3MwuxWhIco26M35PjvyUO8W0siTDrwDwygKHvwKVyWP/pub?embedded=true,https://docs.google.com/document/d/11_yQqY3MIqiUtdGKWkZ94bbg67bU8iOpeD8eI4kL-k0/edit?usp=sharing
Vape Nicotine (E-cigarettes),bb,https://docs.google.com/document/d/e/2PACX-1vRXV4kkiN5tGE1iZn9HJQ3wZ1HOSRUY7WiP3uhCKiq-TP6D9KEd3uTQUnyAy7iOZRd4F2f3YuALvAHO/pub?embedded=true,https://docs.google.com/document/d/17A0KCZRP70MqFfm92-53xKskwcDa_ugHdcqOoA9vo8w/edit?usp=sharing
Vape Flavoring,bb,https://docs.google.com/document/d/e/2PACX-1vRG4hUZZXL-P3a5d3qYdUULSUGS_nQP8Ev7XYJHT7Q_HnvmyjjGF7aoRdsjWElE7Jf-IiP8AOm5Q7q8/pub?embedded=true,https://docs.google.com/document/d/1tgAaJYlNtqdWWzoCgSuF4lDNLcsX-wBS0sSTTmNliUc/edit?usp=sharing
Vape Flavoring without Nicotine,bb,https://docs.google.com/document/d/e/2PACX-1vTNmWoWpDtVS8tRMW6jhtTooE9TgnCUlXSt-zzMYdXeojw8xy8qm2jheh8lkTlPHfH9v1IixyocorH5/pub?embedded=true,https://docs.google.com/document/d/1k2tAEl5ztSQ06P_HXmGYeqB7vTOvMMl4l7eXIqO9afU/edit?usp=sharing
